Date,Target
2026-06-03,100
2026-06-04,72
2026-06-05,120
2026-06-06,150
2026-06-07,0
2026-06-08,140
2026-06-09,170
2026-06-10,130
2026-06-11,160
2026-06-12,167
2026-06-13,191
2026-06-14,0
2026-06-15,120
2026-06-16,220
2026-06-17,160
2026-06-18,190
2026-06-19,170
2026-06-20,208
2026-06-21,0
2026-06-22,120
2026-06-23,180
2026-06-24,229
2026-06-25,160
2026-06-26,150
